Timestamp,B. Ed. Year,Teaching Subject/ Method,Type of Internship School,Awareness of different types of softwares [Proprietary Software],Awareness of different types of softwares [Free and Open-Source Software],Awareness of different types of softwares [Pirated Software],Awareness of different types of softwares [All of the above],Awareness  of various Free and Open-Source Software(FOSS) [Libre office],Awareness  of various Free and Open-Source Software(FOSS) [Open office],Awareness  of various Free and Open-Source Software(FOSS) [Mozilla Firefox],Awareness  of various Free and Open-Source Software(FOSS) [Chromium],Awareness  of various Free and Open-Source Software(FOSS) [GIMP],Awareness  of various Free and Open-Source Software(FOSS) [VLC media player],Awareness  of various Free and Open-Source Software(FOSS) [Ubuntu],Awareness  of various Free and Open-Source Software(FOSS) [Open Shot],Awareness  of various Free and Open-Source Software(FOSS) [Audacity],Awareness  of various Free and Open-Source Software(FOSS) [MyPaint],Awareness  of various Free and Open-Source Software(FOSS) [Tuxpaint],Awareness  of various Free and Open-Source Software(FOSS) [Geogebra],Awareness  of various Free and Open-Source Software(FOSS) [Cmap],Awareness  of various Free and Open-Source Software(FOSS) [MAHARA],Awareness  of various Free and Open-Source Software(FOSS) [Moodle],Awareness  of various Free and Open-Source Software(FOSS) [Classroom 2.0],Awareness  of various Free and Open-Source Software(FOSS) [Google Earth],Awareness  of various Free and Open-Source Software(FOSS) [RCampus],Perceived Usefulness: [FOSS helped me perform teaching tasks effectively],Perceived Usefulness: [FOSS is a good alternative to paid software],Perceived Usefulness: [FOSS improved my digital teaching skills],Perceived Ease of Use: [FOSS tools were easy to use],Perceived Ease of Use: [FOSS tools were easy to use during classroom teaching],Perceived Ease of Use: [FOSS tools were user-friendly],Application of FOSS: [I used FOSS to prepare teaching-learning materials],Application of FOSS: [I used FOSS for lesson planning and assessment],Application of FOSS: [I regularly used at least one FOSS tool during my internship],Behavioral Intention: [I intend to use FOSS in future teaching],Behavioral Intention: [I am interested in learning more about FOSS tools],Behavioral Intention: [I will recommend FOSS to other teachers],Challenges and Security [Lack of training limits my use of FOSS],Challenges and Security [Limited technical support affects my use of FOSS],Challenges and Security [I feel FOSS tools are safe and secure for teaching use]
3/9/2026 10:26:33,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Agree,Strongly agree,Agree,Easy,Neither difficult nor easy,Easy,Agree,Agree,Agree,Likely,Very likely,Likely,Neither agree nor disagre,Agree,Agree
3/9/2026 10:26:35,,Arts,,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Strongly agree,Strongly agree,Strongly agree,Easy,Easy,Easy,Strongly agree,Strongly agree,Strongly agree,Very likely,Very likely,Very likely,Strongly agree,Strongly agree,Strongly agree
3/9/2026 10:27:33,,Arts,,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Agree,Agree,Strongly agree,Easy,Easy,Very easy,Neither agree nor disagree,Neither agree nor disagree,Disagree,Very likely,Very likely,Very likely,Strongly agree,Strongly agree,Strongly agree
3/9/2026 10:36:31,,Science,,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Partially Aware,Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Disagree,Disagree,Neither agree nor disagree,Difficult,Neither difficult nor easy,Neither difficult nor easy,Strongly disagree,Strongly disagree,Disagree,Unlikely,Unlikely,Unlikely,Strongly disagree,Disagree,Disagree
3/9/2026 10:39:29,,Science,,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Neither agree nor disagree,Neither agree nor disagree,Easy,Easy,Easy,Neither agree nor disagree,Agree,Agree,Neutral,Likely,Likely,Agree,Neither agree nor disagre,Agree
3/9/2026 15:19:22,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Easy,Easy,Easy,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/9/2026 15:28:13,,Science,,Partially Aware,Not Aware,Partially Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Disagree,Disagree,Neither agree nor disagree,Difficult,Difficult,Neither difficult nor easy,Strongly disagree,Disagree,Disagree,Very unlikely,Unlikely,Neutral,Disagree,Strongly disagree,Neither agree nor disagre
3/9/2026 16:04:33,,Science,,Not Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Difficult,Difficult,Difficult,Agree,Agree,Agree,Unlikely,Likely,Unlikely,Disagree,Neither agree nor disagre,Disagree
3/10/2026 10:59:23,,Science,,Partially Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Strongly disagree,Disagree,Neither difficult nor easy,Difficult,Very difficult,Neither agree nor disagree,Agree,Neither agree nor disagree,Neutral,Likely,Neutral,Neither agree nor disagre,Disagree,Neither agree nor disagre
3/14/2026 14:15:33,,Arts,,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neither agree nor disagre
3/14/2026 14:16:26,,Arts,,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Disagree,Very difficult,Neither difficult nor easy,Easy,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neutral,Very unlikely,Neutral,Agree,Disagree,Strongly agree
3/14/2026 14:16:27,,Science,,Aware,Aware,Aware,Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Aware,Aware,Not Aware,Not Aware,Disagree,Strongly disagree,Disagree,Easy,Easy,Easy,Neither agree nor disagree,Agree,Disagree,Likely,Likely,Likely,Neither agree nor disagre,Agree,Neither agree nor disagre
3/14/2026 14:16:29,,Arts,,Partially Aware,Aware,Aware,Aware,Partially Aware,Aware,Aware,Not Aware,Not Aware,Aware,Aware,Aware,Aware,Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Aware,Aware,Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Agree,Agree,Neither agree nor disagree,Likely,Likely,Likely,Agree,Agree,Agree
3/14/2026 14:17:21,,Arts,,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Difficult,Difficult,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/14/2026 14:18:18,,Arts,,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Easy,Neither difficult nor easy,Neither agree nor disagree,Agree,Agree,Likely,Likely,Neutral,Agree,Neither agree nor disagre,Agree
3/14/2026 14:18:31,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Likely,Likely,Likely,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 14:19:33,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Aware,Aware,Not Aware,Aware,Not Aware,Aware,Aware,Aware,Aware,Aware,Aware,Not Aware,Strongly agree,Strongly agree,Strongly agree,Very easy,Very easy,Very easy,Agree,Agree,Agree,Very likely,Very likely,Very likely,Agree,Agree,Agree
3/14/2026 14:19:56,,Science,,Partially Aware,Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Difficult,Agree,Agree,Agree,Neutral,Very likely,Likely,Agree,Agree,Neither agree nor disagre
3/14/2026 14:19:58,,Arts,,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Easy,Neither difficult nor easy,Neither agree nor disagree,Strongly disagree,Strongly disagree,Likely,Very likely,Neutral,Strongly agree,Agree,Neither agree nor disagre
3/14/2026 14:20:23,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 14:20:32,,Arts,,Partially Aware,Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Unlikely,Unlikely,Unlikely,Disagree,Disagree,Disagree
3/14/2026 14:21:42,,Arts,,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Difficult,Difficult,Agree,Agree,Agree,Likely,Very likely,Very likely,Agree,Agree,Agree
3/14/2026 14:21:52,,Arts,,Partially Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 14:24:10,,Science,,Partially Aware,Partially Aware,Not Aware,Partially Aware,Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 14:24:16,,Arts,,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Difficult,Difficult,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Likely,Likely,Strongly agree,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 14:25:03,,Science,,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Agree,Agree,Agree,Easy,Neither difficult nor easy,Easy,Agree,Neither agree nor disagree,Neither agree nor disagree,Likely,Likely,Likely,Agree,Agree,Agree
3/14/2026 14:30:43,,Arts,,Partially Aware,Aware,Aware,Partially Aware,Not Aware,Aware,Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Agree,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 14:30:44,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Agree,Agree,Agree,Likely,Likely,Likely,Agree,Agree,Agree
3/14/2026 14:37:40,,Arts,,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Easy,Easy,Very easy,Agree,Disagree,Disagree,Very likely,Likely,Very likely,Strongly agree,Strongly agree,Strongly agree
3/14/2026 14:38:40,,Science,,Aware,Aware,Aware,Aware,Not Aware,Partially Aware,Aware,Partially Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Agree,Agree,Agree,Easy,Easy,Easy,Agree,Agree,Agree,Likely,Likely,Likely,Agree,Agree,Agree
3/14/2026 14:54:27,,Science,,Partially Aware,Aware,Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Aware,Partially Aware,Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Aware,Aware,Not Aware,Not Aware,Aware,Partially Aware,Not Aware,Agree,Strongly agree,Agree,Easy,Easy,Easy,Agree,Agree,Disagree,Likely,Very likely,Very likely,Agree,Agree,Agree
3/14/2026 15:02:38,,Arts,,Partially Aware,Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Aware,Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Aware,Partially Aware,Strongly agree,Strongly agree,Strongly agree,Easy,Easy,Easy,Strongly agree,Strongly agree,Agree,Very likely,Very likely,Very likely,Agree,Neither agree nor disagre,Agree
3/14/2026 15:07:58,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Likely,Likely,Likely,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 16:11:03,,Science,,Partially Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Not Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Strongly disagree,Agree,Strongly disagree,Easy,Neither difficult nor easy,Very easy,Agree,Strongly agree,Disagree,Likely,Neutral,Very likely,Disagree,Strongly disagree,Strongly agree
3/14/2026 16:11:51,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Strongly disagree,Strongly disagree,Strongly disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Likely,Likely,Likely,Agree,Agree,Agree
3/14/2026 16:58:00,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Strongly agree,Strongly agree,Strongly agree,Easy,Easy,Easy,Agree,Neither agree nor disagree,Disagree,Very likely,Very likely,Likely,Neither agree nor disagre,Agree,Agree
3/14/2026 19:31:16,,Science,,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/14/2026 19:32:07,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
3/14/2026 21:57:26,,Arts,,Partially Aware,Aware,Partially Aware,Partially Aware,Not Aware,Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Aware,Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Disagree,Strongly disagree,Disagree,Easy,Neither difficult nor easy,Easy,Agree,Agree,Strongly agree,Likely,Likely,Neutral,Neither agree nor disagre,Agree,Neither agree nor disagre
3/14/2026 23:30:47,,Arts,,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Agree,Agree,Neither difficult nor easy,Easy,Easy,Disagree,Disagree,Disagree,Likely,Likely,Neutral,Agree,Agree,Agree
3/14/2026 23:32:05,,Arts,,Not Aware,Aware,Partially Aware,Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Strongly disagree,Strongly disagree,Strongly disagree,Very difficult,Very difficult,Very difficult,Strongly disagree,Strongly disagree,Strongly disagree,Likely,Likely,Likely,Agree,Agree,Strongly agree
3/14/2026 23:35:42,,Science,,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
